Pathway	Organisms
Propanoate metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Butanoate metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
C5-Branched dibasic acid metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
One carbon pool by folate	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Methane metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Thiamine metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Riboflavin metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Vitamin B6 metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Nicotinate and nicotinamide metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Pantothenate and CoA biosynthesis	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Biotin metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Folate biosynthesis	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Porphyrin and chlorophyll metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus thermophilus LMD-9
Terpenoid backbone biosynthesis	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Nitrogen metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Sulfur metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Aminoacyl-tRNA biosynthesis	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Biosynthesis of unsaturated fatty acids	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Metabolic pathways	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Biosynthesis of secondary metabolites	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Microbial metabolism in diverse environments	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Biosynthesis of antibiotics	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Carbon metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
2-Oxocarboxylic acid metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Fatty acid metabolism	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Degradation of aromatic compounds	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Biosynthesis of amino acids	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
beta-Lactam resistance	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Vancomycin resistance	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Cationic antimicrobial peptide (CAMP) resistance	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
ABC transporters	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Two-component system	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Quorum sensing	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Phosphotransferase system (PTS)	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Ribosome	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
RNA degradation	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
RNA polymerase	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
DNA replication	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
Protein export	 Streptococcus gordonii Streptococcus mitis Streptococcus mutans UA159 Streptococcus pneumoniae TIGR4 virulent serotype 4 Streptococcus sanguinis Streptococcus suis 05ZYH33 Streptococcus thermophilus LMD-9
